img_id	confidence	recall	area
biodiversity_0917	0.824238	0.895522	0.01610184
biodiversity_0920	0.505432	0.561702	0.00179291
biodiversity_0921	0.724045	0.788656	0.01398849
biodiversity_0929	0.799855	0.848060	0.05064011
biodiversity_0930	0.842831	0.887701	0.05353546
biodiversity_0931	0.962723	0.992851	0.00853729
biodiversity_0932	0.847825	0.876817	0.06113052
biodiversity_0933	0.856939	0.885598	0.08089447
biodiversity_0934	0.844707	0.875119	0.02397919
biodiversity_0935	0.914321	0.960185	0.01485062
biodiversity_0937	0.910214	0.935069	0.09041595
biodiversity_0938	0.911431	0.937554	0.07984161
biodiversity_0939	0.810408	0.863851	0.01047897
biodiversity_0942	0.828570	0.871454	0.00860596
biodiversity_0947	0.903545	0.945180	0.05128479
biodiversity_0948	0.888968	0.927150	0.03508377
biodiversity_0949	0.961327	0.995704	0.01776123
biodiversity_0951	0.925272	0.953700	0.13742828
biodiversity_0956	0.663799	0.676069	0.01284790
biodiversity_0960	0.863455	0.912021	0.02627563
biodiversity_0961	0.523257	0.575279	0.01570892
biodiversity_0964	0.974855	0.991855	0.00843048
biodiversity_0976	0.877001	0.917379	0.05088043
biodiversity_0979	0.893412	0.923744	0.06072998
biodiversity_0980	0.895693	0.930252	0.08838272
biodiversity_0983	0.918028	0.950055	0.03131485
biodiversity_0985	0.920889	0.945181	0.04634476
biodiversity_0987	0.553078	0.529732	0.05395126
biodiversity_0995	0.531055	0.764391	0.00284958
biodiversity_0996	0.586384	0.700000	0.00041962
biodiversity_0998	0.918926	0.940273	0.19824982
biodiversity_1000	0.789773	0.811060	0.00331116
biodiversity_1004	0.881709	0.914614	0.14430237
biodiversity_1005	0.920777	0.955407	0.13883972
biodiversity_1006	0.627571	0.653431	0.02084732
biodiversity_1007	0.720373	0.753530	0.07455444
biodiversity_1008	0.842257	0.863886	0.07079315
biodiversity_1009	0.679694	0.762557	0.00584793
biodiversity_1015	0.024133	0.000000	0.00469589
biodiversity_1016	0.134835	0.164094	0.00469589
biodiversity_1023	0.894836	0.926459	0.07453918
biodiversity_1026	0.866676	0.909730	0.02442551
biodiversity_1027	0.911614	0.953792	0.05588913
biodiversity_1028	0.896202	0.942774	0.03146362
biodiversity_1031	0.874152	0.914251	0.03447723
biodiversity_1034	0.968291	0.997838	0.02293396
biodiversity_1037	0.798580	0.930131	0.00174713
biodiversity_1038	0.654514	0.779476	0.00174713
biodiversity_1039	0.834197	0.863608	0.03675079
biodiversity_1041	0.833010	0.870311	0.05226898
biodiversity_1043	0.251416	0.157895	0.00050735
biodiversity_1044	0.932035	0.949376	0.04249954
biodiversity_1046	0.790407	0.816875	0.03716278
biodiversity_1047	0.761265	0.793551	0.01703644
biodiversity_1048	0.940504	0.987787	0.02030182
biodiversity_1049	0.929624	0.976677	0.01995468
biodiversity_1050	0.300683	0.219802	0.00385284
biodiversity_1054	0.648113	0.685380	0.06061172
biodiversity_1059	0.701316	0.793289	0.02694321
biodiversity_1062	0.668211	0.695880	0.07342911
biodiversity_1067	0.940888	0.992341	0.01145554
biodiversity_1068	0.806874	0.901432	0.01145554
biodiversity_1073	0.490533	0.601093	0.00209427
biodiversity_1074	0.874384	0.915057	0.08550644
biodiversity_1075	0.880331	0.918993	0.08349228
biodiversity_1076	0.109776	0.000000	0.00008011
biodiversity_1077	0.840149	0.863483	0.04417801
biodiversity_1078	0.833727	0.863254	0.05163574
biodiversity_1079	0.939756	0.981586	0.00745773
biodiversity_1084	0.907151	0.939527	0.04705811
biodiversity_1085	0.747020	0.757576	0.06344604
biodiversity_1088	0.812182	0.858250	0.06937790
biodiversity_1090	0.155281	0.000000	0.00008774
biodiversity_1091	0.951509	0.986237	0.00970078
biodiversity_1092	0.872166	0.922573	0.01340103
biodiversity_1093	0.818433	0.855480	0.02916718
biodiversity_1095	0.842474	0.881056	0.04047394
biodiversity_1100	0.807484	0.852230	0.23285294
biodiversity_1101	0.721075	0.810911	0.12467575
biodiversity_1103	0.530000	0.578876	0.01683044
biodiversity_1106	0.791182	0.833088	0.08019638
biodiversity_1108	0.779533	0.793800	0.01341248
biodiversity_1110	0.710030	0.753226	0.12032700
biodiversity_1111	0.766031	0.820021	0.03204727
biodiversity_1114	0.889841	0.928315	0.16358185
biodiversity_1115	0.891314	0.920232	0.15360641
biodiversity_1116	0.832808	0.844009	0.03543472
biodiversity_1117	0.937599	0.961843	0.04918671
biodiversity_1118	0.828534	0.870766	0.08312225
biodiversity_1119	0.788561	0.847086	0.03684616
biodiversity_1121	0.892331	0.929535	0.10491562
biodiversity_1122	0.894135	0.933228	0.11066055
biodiversity_1123	0.741279	0.784861	0.00574493
biodiversity_1125	0.821240	0.833733	0.03019333
biodiversity_1127	0.816973	0.921700	0.00341034
biodiversity_1131	0.893258	0.911712	0.04895401
biodiversity_1140	0.798718	0.835374	0.04736328
biodiversity_1143	0.000942	0.000000	0.00003815
biodiversity_1145	0.894830	0.925827	0.03852081
biodiversity_1146	0.791850	0.830194	0.14764023
biodiversity_1147	0.834832	0.873174	0.23557281
biodiversity_1148	0.885500	0.920276	0.12646484
biodiversity_1149	0.888756	0.920109	0.02382660
biodiversity_1152	0.860529	0.881249	0.02479935
biodiversity_1153	0.770899	0.810877	0.10065079
biodiversity_1155	0.838940	0.874697	0.09605026
biodiversity_1156	0.846915	0.875322	0.14967728
biodiversity_1157	0.823492	0.854266	0.13014603
biodiversity_1158	0.859823	0.887758	0.16007614
biodiversity_1160	0.858591	0.904095	0.12966919
biodiversity_1163	0.830180	0.860959	0.12294006
biodiversity_1164	0.916060	0.947244	0.16681671
biodiversity_1166	0.793155	0.844444	0.02883911
biodiversity_1167	0.647204	0.714437	0.01440048
biodiversity_1168	0.872796	0.903491	0.13692093
biodiversity_1169	0.876153	0.906279	0.13281250
biodiversity_1170	0.765016	0.821954	0.00726318
biodiversity_1175	0.774030	0.834336	0.00824356
biodiversity_1177	0.405660	0.407511	0.01086807
biodiversity_1178	0.209189	0.199600	0.02289581
biodiversity_1179	0.295178	0.308939	0.03388214
biodiversity_1181	0.842062	0.886204	0.08303452
biodiversity_1182	0.871702	0.925304	0.05811691
biodiversity_1188	0.841434	0.859837	0.04915237
biodiversity_1189	0.893298	0.911915	0.04568863
biodiversity_1192	0.903165	0.928558	0.02007675
biodiversity_1193	0.887178	0.912911	0.07788086
biodiversity_1194	0.933637	0.958867	0.10303497
biodiversity_1195	0.959129	0.980264	0.09857559
biodiversity_1199	0.784606	0.820509	0.06975174
biodiversity_1200	0.834882	0.879595	0.13645554
biodiversity_1201	0.837984	0.879108	0.15158844
biodiversity_1202	0.817791	0.855801	0.08285522
biodiversity_1204	0.891849	0.919748	0.07871628
biodiversity_1208	0.884672	0.928290	0.10155106
biodiversity_1209	0.793517	0.831850	0.13673019
biodiversity_1210	0.780712	0.809971	0.11653137
biodiversity_1211	0.884916	0.926879	0.13877106
biodiversity_1212	0.878336	0.919867	0.10549164
biodiversity_1213	0.709312	0.741770	0.02155304
biodiversity_1214	0.697662	0.746225	0.01440048
biodiversity_1215	0.872126	0.899203	0.12871170
biodiversity_1216	0.876660	0.899088	0.13015366
